ddm,id,title,author1,author2,author_gender,category,frmt1,frmt2
3902,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",,F,PRESTIGE,pb,sell
3867,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",,F,PRESTIGE,pb,sell
3742,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",,M,PRESTIGE,hb,sell
3685,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",,F,OTHER,hb,sell
3655,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",,F,PRESTIGE,hb,sell
3648,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",,F,OTHER,hb,sell
3622,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",,F,OTHER,both,sell
3593,bstream_031,Bakom stängda dörrar,"Paris, B.A.",,F,CRIME,no,strm
3590,SvB_BS_293,Löparna,"Tokarczuk, Olga",,F,PRESTIGE,hb,sell
3568,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",,M,OTHER,hb,sell
3554,SvB_BS_187,Stoner,"Williams, John",,M,OTHER,pb,sell
3528,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",,F,OTHER,pb,sell
3521,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",,F,CRIME,pb,sell
3520,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",,M,PRESTIGE,hb,sell
3507,SvB_BS_208,1968,"Guillou, Jan",,M,OTHER,hb,sell
3484,SvB_BS_288,1794,"Natt och Dag, Niklas",,M,CRIME,hb,sell
3476,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",,M,OTHER,hb,sell
3469,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",,M,CRIME,hb,both
3463,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",,M,OTHER,hb,sell
3447,SvB_BS_250,Begynnelse,"Brown, Dan",,M,CRIME,both,sell
3435,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",,F,OTHER,hb,sell
3428,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",,M,OTHER,both,both
3420,SvB_BS_306,Motiv X,"Ahnhem, Stefan",,M,CRIME,pb,sell
3409,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",,M,CRIME,pb,sell
3404,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",,M,PRESTIGE,hb,sell
3396,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",,F,OTHER,pb,sell
3390,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",,F,OTHER,pb,sell
3386,SvB_BS_273,1793,"Natt och Dag, Niklas",,M,CRIME,pb,sell
3375,SvB_BS_271,Tre timmar,"Roslund, Anders",,M,CRIME,both,sell
3374,SvB_BS_156,Gone Girl,"Flynn, Gillian",,F,CRIME,pb,sell
3358,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",,M,OTHER,hb,sell
3351,SvB_BS_166,Blå stjärnan,"Guillou, Jan",,M,OTHER,hb,sell
3351,bstream_033,5:e Moseboken,"Larsson, Christina",,F,CRIME,no,strm
3343,SvB_BS_192,Tre minuter,"Roslund, Anders",Börge Hellström,M,CRIME,hb,sell
3342,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",,M,PRESTIGE,both,sell
3342,bstream_047,Offer 2117,"Adler-Olsen, Jussi",,M,CRIME,no,strm
3326,bstream_019,När livet börjar om,"Dillon, Lucy",,F,OTHER,no,strm
3324,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",,M,CRIME,both,both
3323,SvB_BS_203,De oroliga,"Ullmann, Linn",,F,PRESTIGE,hb,sell
3319,bstream_051,Allt jag fått lära mig,"Westover, Tara",,F,OTHER,no,strm
3317,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",,F,CRIME,pb,sell
3313,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",,M,CRIME,hb,both
3308,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",,M,OTHER,pb,sell
3291,SvB_BS_177,Björndansen,"Roslund, Anders",Stefan Thunberg,M,CRIME,hb,sell
3287,bstream_003,Hämnaren,"Buthler, Dan",Dag Öhrlund,M,CRIME,no,strm
3285,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",,M,CRIME,no,strm
3284,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",,M,OTHER,pb,sell
3283,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",,F,OTHER,pb,sell
3281,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",,F,OTHER,pb,sell
3280,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",,F,CRIME,both,both
3280,SvB_BS_265,En andra chans,"Moyes, Jojo",,F,OTHER,both,both
3278,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",,M,CRIME,both,both
3276,SvB_BS_299,Jamåhonleva,"Roslund, Anders",,M,CRIME,hb,sell
3267,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",,F,CRIME,no,strm
3253,bstream_013,Motvind,"Buthler, Dan",Dag Öhrlund,M,CRIME,no,strm
3247,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",,F,OTHER,pb,sell
3244,SvB_BS_291,Kniv,"Nesbø, Jo",,M,CRIME,hb,sell
3237,bstream_025,Uppståndelsen,"Buthler, Dan",Dag Öhrlund,M,CRIME,no,strm
3235,SvB_BS_296,Folk med ångest,"Backman, Fredrik",,M,OTHER,hb,sell
3223,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",,M,CRIME,hb,both
3222,bstream_034,Nådastöten,"Larsson, Christina",,F,CRIME,no,strm
3221,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",,M,CRIME,pb,sell
3216,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",,F,CRIME,pb,both
3214,SvB_BS_216,Björnstad,"Backman, Fredrik",,M,OTHER,pb,sell
3210,SvB_BS_280,Strandcaféet,"Diamond, Lucy",,F,OTHER,pb,sell
3210,bstream_037,Hämndens pris,"Lewin, Erik",,M,CRIME,no,strm
3204,SvB_BS_193,Kaninjägaren,"Kepler, Lars",,2,CRIME,both,both
3204,SvB_BS_246,Toner i natten,"Moyes, Jojo",,F,OTHER,both,both
3199,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",Hans Rosenfeldt,M,CRIME,hb,both
3196,SvB_BS_255,Törst,"Nesbø, Jo",,M,CRIME,hb,both
3194,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",,F,CRIME,pb,sell
3186,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",,M,CRIME,both,sell
3174,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",,M,OTHER,pb,sell
3169,SvB_BS_284,Höstdåd,"Motte, Anders de la",,M,CRIME,pb,sell
3162,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",,F,OTHER,both,both
3160,bstream_005,Dominodöden,"Moström, Jonas",,M,CRIME,no,strm
3156,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",,F,OTHER,both,sell
3156,bstream_027,Trogen intill döden,"Moström, Jonas",,M,CRIME,no,strm
3154,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",,M,PRESTIGE,pb,sell
3151,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",,F,CRIME,pb,sell
3150,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",,F,OTHER,pb,sell
3144,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",,F,CRIME,both,both
3143,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",,F,PRESTIGE,hb,sell
3143,SvB_BS_308,På egen hand,"Keyes, Marian",,M,OTHER,pb,sell
3138,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",,M,CRIME,hb,both
3136,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",,F,CRIME,hb,both
3133,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",,M,OTHER,hb,sell
3133,bstream_018,Midnattsflickor,"Moström, Jonas",,M,CRIME,no,strm
3131,SvB_BS_261,Lazarus,"Kepler, Lars",,2,CRIME,hb,both
3126,SvB_BS_174,Playground,"Kepler, Lars",,2,CRIME,hb,sell
3122,SvB_BS_155,Stalker,"Kepler, Lars",,2,CRIME,both,both
3121,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",,M,OTHER,both,sell
3120,SvB_BS_161,Sonen,"Nesbø, Jo",,M,CRIME,both,sell
3120,bstream_036,Domaren,"Öhrlund, Dag",,M,CRIME,no,strm
3119,SvB_BS_180,Etthundra mil,"Moyes, Jojo",,F,OTHER,pb,sell
3119,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",,F,OTHER,pb,sell
3113,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",,F,OTHER,pb,sell
3112,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",,F,CRIME,pb,sell
3107,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",,F,CRIME,pb,sell
3103,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",,M,OTHER,both,both
3101,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",Hans Rosenfeldt,M,CRIME,pb,sell
3100,bstream_007,Skymningsflickan,"Wennstam, Katarina",,F,CRIME,no,strm
3099,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",,M,CRIME,no,strm
3096,SvB_BS_165,De underkända,"Hjorth, Michael",Hans Rosenfeldt,M,CRIME,hb,both
3094,bstream_039,Skuggorna ruva,"Moström, Jonas",,M,CRIME,no,strm
3085,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",,F,CRIME,pb,sell
3085,bstream_035,Se till mig som liten är,"Öhrlund, Dag",,M,CRIME,no,strm
3081,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",,F,CRIME,both,both
3080,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",,F,CRIME,pb,both
3076,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",,M,CRIME,pb,sell
3076,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",,F,OTHER,pb,sell
3074,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",,F,CRIME,hb,sell
3071,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",Ruben Eliassen,2,CRIME,no,strm
3069,bstream_012,Där inga ögon ser,"Öhrlund, Dag",,M,CRIME,no,strm
3064,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",,M,CRIME,pb,sell
3064,SvB_BS_251,Häxan,"Läckberg, Camilla",,F,CRIME,both,both
3063,SvB_BS_175,Järnblod,"Marklund, Liza",,F,CRIME,both,both
3061,SvB_BS_254,Top Dogg,"Lapidus, Jens",,M,CRIME,hb,both
3050,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",,M,CRIME,no,strm
3045,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",,F,CRIME,both,both
3043,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",,F,OTHER,pb,sell
3038,SvB_BS_292,Broder Jakob,"Schepp, Emelie",,F,CRIME,hb,both
3030,bstream_038,Änglabarnet,"Kant, Johan",Anders Gustafson,M,CRIME,no,strm
3026,bstream_026,De sju som såg,"Rudberg, Denise",,F,CRIME,no,strm
3025,bstream_014,På sex meters djup,"Rudberg, Denise",,F,CRIME,no,strm
3022,bstream_043,Dotter saknad,"Jansson, Anna",,F,CRIME,no,strm
3022,bstream_049,Trojanen,"Ahlstedt, Mats",,M,CRIME,no,strm
3021,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",,F,CRIME,no,strm
3015,bstream_010,Rädslans fångar,"Jansson, Anna",,F,CRIME,no,strm
3013,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",,F,CRIME,both,both
3013,bstream_011,Kärlek sökes,"Hjulström, Carin",,F,OTHER,no,strm
3005,bstream_001,Alla kan se dig,"Jansson, Anna",,F,CRIME,no,strm
3005,bstream_045,Under nio nätter,"Rudberg, Denise",,F,CRIME,no,strm
2997,SvB_BS_278,Husdjuret,"Grebe, Camilla",,F,CRIME,pb,sell
2992,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",,F,CRIME,both,both
2991,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",,M,CRIME,no,strm
2991,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",,F,CRIME,no,strm
2991,bstream_050,Morden på Mörkö,"Karlsson, Samuel",,M,CRIME,no,strm
2986,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",,M,OTHER,pb,sell
2982,bstream_020,Välkommen hem,"Schulman, Ninni",,F,CRIME,no,strm
2967,bstream_023,Det du inte vet,"Jansson, Anna",,F,CRIME,no,strm
2962,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",,F,OTHER,both,both
2957,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",,F,CRIME,no,strm
2952,SvB_BS_189,I maktens skugga,"Sten, Viveca",,F,CRIME,pb,sell
2951,bstream_030,Kvinnan på bänken,"Jansson, Anna",,F,CRIME,no,strm
2950,SvB_BS_275,Silvervägen,"Jackson, Stina",,F,CRIME,pb,both
2935,bstream_017,Mordbrännaren,"Kant, Johan",Anders Gustafson,M,CRIME,no,strm
2934,SvB_BS_158,VIP-rummet,"Lapidus, Jens",,M,CRIME,hb,sell
2931,bstream_015,Prio ett,"Schepp, Emelie",,F,CRIME,no,strm
2925,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",Joakim Ersgård,M,OTHER,no,strm
2924,bstream_046,Snödrev,"Tursten, Helene",,F,CRIME,no,strm
2923,SvB_BS_285,Pappas pojke,"Schepp, Emelie",,F,CRIME,pb,both
2922,bstream_004,Vita spår,"Schepp, Emelie",,F,CRIME,no,strm
2914,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",,M,CRIME,pb,both
2909,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",,M,OTHER,pb,sell
2903,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",,F,CRIME,hb,both
2893,bstream_021,Sov du lilla videung,"Börjlind, Rolf",Cilla Börjlind,2,CRIME,no,strm
2891,SvB_BS_267,I fel sällskap,"Sten, Viveca",,F,CRIME,hb,sell
2889,SvB_BS_202,Glöm mig,"Schulman, Alex",,M,OTHER,both,sell
2887,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",,F,CRIME,both,both
2887,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",,F,CRIME,no,strm
2886,SvB_BS_172,STHLM Delete,"Lapidus, Jens",,M,CRIME,both,both
2884,SvB_BS_287,En bur av guld,"Läckberg, Camilla",,F,CRIME,hb,both
2879,bstream_009,I sanningens namn,"Sten, Viveca",,F,CRIME,no,strm
2856,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",,F,CRIME,pb,both
2856,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",,F,CRIME,no,strm
2849,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",,F,CRIME,pb,sell
2845,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",,M,CRIME,pb,sell
2817,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",,F,CRIME,hb,both
2805,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",,F,OTHER,pb,sell
2697,SvB_BS_300,Jag for ner till bror,"Smirnoff, Karin",,F,PRESTIGE,pb,sell
2646,SvB_BS_272,Vardagar,"Lundell, Ulf",,M,OTHER,hb,sell
