p_ro,id,title,author1,author2,author_gender,category,frmt1,frmt2
2057,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",,M,OTHER,both,both
1983,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",,M,OTHER,hb,sell
1945,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",,M,OTHER,pb,sell
1812,SvB_BS_177,Björndansen,"Roslund, Anders",Stefan Thunberg,M,CRIME,hb,sell
1701,SvB_BS_299,Jamåhonleva,"Roslund, Anders",,M,CRIME,hb,sell
1658,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",,M,OTHER,hb,sell
1653,SvB_BS_192,Tre minuter,"Roslund, Anders",Börge Hellström,M,CRIME,hb,sell
1618,bstream_051,Allt jag fått lära mig,"Westover, Tara",,F,OTHER,no,strm
1598,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",,M,OTHER,pb,sell
1588,SvB_BS_203,De oroliga,"Ullmann, Linn",,F,PRESTIGE,hb,sell
1588,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",,F,PRESTIGE,pb,sell
1566,SvB_BS_271,Tre timmar,"Roslund, Anders",,M,CRIME,both,sell
1529,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",,M,CRIME,hb,both
1486,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",,M,OTHER,hb,sell
1470,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",,M,OTHER,hb,sell
1437,SvB_BS_208,1968,"Guillou, Jan",,M,OTHER,hb,sell
1424,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",,M,OTHER,hb,sell
1419,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",,M,OTHER,pb,sell
1398,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",,M,CRIME,both,both
1384,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",,F,CRIME,both,both
1374,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",,M,OTHER,both,both
1364,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",,M,CRIME,both,sell
1347,SvB_BS_187,Stoner,"Williams, John",,M,OTHER,pb,sell
1301,SvB_BS_166,Blå stjärnan,"Guillou, Jan",,M,OTHER,hb,sell
1278,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",,M,PRESTIGE,both,sell
1251,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",,F,PRESTIGE,pb,sell
1228,SvB_BS_255,Törst,"Nesbø, Jo",,M,CRIME,hb,both
1225,bstream_038,Änglabarnet,"Kant, Johan",Anders Gustafson,M,CRIME,no,strm
1209,bstream_018,Midnattsflickor,"Moström, Jonas",,M,CRIME,no,strm
1199,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",,M,PRESTIGE,hb,sell
1185,SvB_BS_216,Björnstad,"Backman, Fredrik",,M,OTHER,pb,sell
1180,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",,M,OTHER,pb,sell
1167,SvB_BS_306,Motiv X,"Ahnhem, Stefan",,M,CRIME,pb,sell
1164,SvB_BS_288,1794,"Natt och Dag, Niklas",,M,CRIME,hb,sell
1150,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",Hans Rosenfeldt,M,CRIME,hb,both
1139,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",,F,OTHER,pb,sell
1133,SvB_BS_273,1793,"Natt och Dag, Niklas",,M,CRIME,pb,sell
1127,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",,M,PRESTIGE,hb,sell
1122,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",,M,OTHER,both,sell
1112,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",,F,OTHER,both,sell
1109,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",,F,OTHER,both,both
1108,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",,M,CRIME,pb,sell
1105,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",,M,PRESTIGE,hb,sell
1104,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",,M,OTHER,pb,sell
1098,SvB_BS_293,Löparna,"Tokarczuk, Olga",,F,PRESTIGE,hb,sell
1097,bstream_033,5:e Moseboken,"Larsson, Christina",,F,CRIME,no,strm
1085,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",,F,OTHER,both,sell
1081,SvB_BS_165,De underkända,"Hjorth, Michael",Hans Rosenfeldt,M,CRIME,hb,both
1035,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",,M,CRIME,no,strm
1022,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",,M,CRIME,pb,sell
1016,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",,M,CRIME,pb,sell
1014,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",,F,CRIME,pb,sell
1014,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",,F,CRIME,both,both
1003,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",Hans Rosenfeldt,M,CRIME,pb,sell
1001,SvB_BS_250,Begynnelse,"Brown, Dan",,M,CRIME,both,sell
999,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",,F,CRIME,hb,both
999,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",,F,CRIME,pb,sell
993,bstream_047,Offer 2117,"Adler-Olsen, Jussi",,M,CRIME,no,strm
976,SvB_BS_156,Gone Girl,"Flynn, Gillian",,F,CRIME,pb,sell
971,SvB_BS_291,Kniv,"Nesbø, Jo",,M,CRIME,hb,sell
964,SvB_BS_296,Folk med ångest,"Backman, Fredrik",,M,OTHER,hb,sell
963,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",,M,CRIME,pb,sell
963,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",,M,CRIME,no,strm
949,bstream_039,Skuggorna ruva,"Moström, Jonas",,M,CRIME,no,strm
947,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",Joakim Ersgård,M,OTHER,no,strm
939,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",,F,CRIME,pb,sell
927,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",,F,OTHER,pb,sell
924,SvB_BS_261,Lazarus,"Kepler, Lars",,2,CRIME,hb,both
921,SvB_BS_158,VIP-rummet,"Lapidus, Jens",,M,CRIME,hb,sell
919,SvB_BS_161,Sonen,"Nesbø, Jo",,M,CRIME,both,sell
919,SvB_BS_272,Vardagar,"Lundell, Ulf",,M,OTHER,hb,sell
914,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",,F,CRIME,pb,sell
901,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",,M,CRIME,pb,sell
892,bstream_046,Snödrev,"Tursten, Helene",,F,CRIME,no,strm
886,bstream_009,I sanningens namn,"Sten, Viveca",,F,CRIME,no,strm
885,SvB_BS_172,STHLM Delete,"Lapidus, Jens",,M,CRIME,both,both
885,SvB_BS_284,Höstdåd,"Motte, Anders de la",,M,CRIME,pb,sell
875,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",,M,CRIME,hb,both
875,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",,F,CRIME,no,strm
874,bstream_049,Trojanen,"Ahlstedt, Mats",,M,CRIME,no,strm
869,SvB_BS_193,Kaninjägaren,"Kepler, Lars",,2,CRIME,both,both
869,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",,F,CRIME,both,both
865,SvB_BS_265,En andra chans,"Moyes, Jojo",,F,OTHER,both,both
858,bstream_026,De sju som såg,"Rudberg, Denise",,F,CRIME,no,strm
856,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",,F,CRIME,no,strm
856,bstream_037,Hämndens pris,"Lewin, Erik",,M,CRIME,no,strm
849,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",,F,OTHER,pb,sell
833,bstream_021,Sov du lilla videung,"Börjlind, Rolf",Cilla Börjlind,2,CRIME,no,strm
831,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",,F,CRIME,pb,sell
819,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",,F,CRIME,both,both
818,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",,F,OTHER,pb,sell
817,SvB_BS_202,Glöm mig,"Schulman, Alex",,M,OTHER,both,sell
817,bstream_031,Bakom stängda dörrar,"Paris, B.A.",,F,CRIME,no,strm
809,bstream_027,Trogen intill döden,"Moström, Jonas",,M,CRIME,no,strm
799,bstream_005,Dominodöden,"Moström, Jonas",,M,CRIME,no,strm
795,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",,F,CRIME,both,both
795,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",,F,CRIME,pb,sell
792,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",,F,CRIME,no,strm
792,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",,F,CRIME,no,strm
785,SvB_BS_300,Jag for ner till bror,"Smirnoff, Karin",,F,PRESTIGE,pb,sell
780,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",,F,CRIME,hb,both
779,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",,F,CRIME,pb,both
773,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",,F,CRIME,pb,sell
771,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",,M,CRIME,hb,both
766,bstream_011,Kärlek sökes,"Hjulström, Carin",,F,OTHER,no,strm
758,SvB_BS_280,Strandcaféet,"Diamond, Lucy",,F,OTHER,pb,sell
756,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",,F,OTHER,hb,sell
753,bstream_019,När livet börjar om,"Dillon, Lucy",,F,OTHER,no,strm
752,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",,F,PRESTIGE,hb,sell
751,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",,F,CRIME,both,both
750,SvB_BS_254,Top Dogg,"Lapidus, Jens",,M,CRIME,hb,both
748,bstream_003,Hämnaren,"Buthler, Dan",Dag Öhrlund,M,CRIME,no,strm
748,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",,F,CRIME,no,strm
745,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",,M,CRIME,no,strm
736,SvB_BS_155,Stalker,"Kepler, Lars",,2,CRIME,both,both
731,SvB_BS_278,Husdjuret,"Grebe, Camilla",,F,CRIME,pb,sell
728,bstream_025,Uppståndelsen,"Buthler, Dan",Dag Öhrlund,M,CRIME,no,strm
727,SvB_BS_251,Häxan,"Läckberg, Camilla",,F,CRIME,both,both
713,bstream_014,På sex meters djup,"Rudberg, Denise",,F,CRIME,no,strm
708,bstream_004,Vita spår,"Schepp, Emelie",,F,CRIME,no,strm
707,SvB_BS_308,På egen hand,"Keyes, Marian",,M,OTHER,pb,sell
704,SvB_BS_287,En bur av guld,"Läckberg, Camilla",,F,CRIME,hb,both
701,bstream_017,Mordbrännaren,"Kant, Johan",Anders Gustafson,M,CRIME,no,strm
693,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",,F,CRIME,both,both
692,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",,F,OTHER,pb,sell
691,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",,F,CRIME,hb,both
683,bstream_015,Prio ett,"Schepp, Emelie",,F,CRIME,no,strm
682,SvB_BS_267,I fel sällskap,"Sten, Viveca",,F,CRIME,hb,sell
681,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",,F,CRIME,pb,both
677,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",,M,CRIME,pb,both
676,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",,F,OTHER,both,both
670,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",,F,OTHER,hb,sell
667,SvB_BS_180,Etthundra mil,"Moyes, Jojo",,F,OTHER,pb,sell
662,bstream_035,Se till mig som liten är,"Öhrlund, Dag",,M,CRIME,no,strm
661,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",,M,PRESTIGE,pb,sell
652,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",,M,CRIME,both,both
643,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",,F,OTHER,pb,sell
642,bstream_007,Skymningsflickan,"Wennstam, Katarina",,F,CRIME,no,strm
641,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",,F,OTHER,hb,sell
634,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",,F,OTHER,pb,sell
618,bstream_020,Välkommen hem,"Schulman, Ninni",,F,CRIME,no,strm
603,bstream_036,Domaren,"Öhrlund, Dag",,M,CRIME,no,strm
600,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",,F,OTHER,pb,sell
596,SvB_BS_174,Playground,"Kepler, Lars",,2,CRIME,hb,sell
592,SvB_BS_246,Toner i natten,"Moyes, Jojo",,F,OTHER,both,both
591,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",Ruben Eliassen,2,CRIME,no,strm
588,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",,F,OTHER,pb,sell
578,bstream_034,Nådastöten,"Larsson, Christina",,F,CRIME,no,strm
577,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",,M,CRIME,no,strm
573,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",,F,CRIME,pb,both
560,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",,M,CRIME,hb,both
552,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",,F,CRIME,pb,sell
551,SvB_BS_175,Järnblod,"Marklund, Liza",,F,CRIME,both,both
550,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",,F,CRIME,hb,sell
545,SvB_BS_275,Silvervägen,"Jackson, Stina",,F,CRIME,pb,both
542,bstream_001,Alla kan se dig,"Jansson, Anna",,F,CRIME,no,strm
539,bstream_045,Under nio nätter,"Rudberg, Denise",,F,CRIME,no,strm
538,bstream_012,Där inga ögon ser,"Öhrlund, Dag",,M,CRIME,no,strm
531,bstream_030,Kvinnan på bänken,"Jansson, Anna",,F,CRIME,no,strm
516,bstream_013,Motvind,"Buthler, Dan",Dag Öhrlund,M,CRIME,no,strm
509,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",,F,OTHER,pb,sell
509,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",,F,CRIME,no,strm
507,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",,F,OTHER,pb,sell
478,bstream_043,Dotter saknad,"Jansson, Anna",,F,CRIME,no,strm
475,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",,F,OTHER,pb,sell
455,bstream_010,Rädslans fångar,"Jansson, Anna",,F,CRIME,no,strm
440,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",,F,PRESTIGE,hb,sell
431,SvB_BS_285,Pappas pojke,"Schepp, Emelie",,F,CRIME,pb,both
427,SvB_BS_292,Broder Jakob,"Schepp, Emelie",,F,CRIME,hb,both
418,SvB_BS_189,I maktens skugga,"Sten, Viveca",,F,CRIME,pb,sell
404,bstream_023,Det du inte vet,"Jansson, Anna",,F,CRIME,no,strm
383,bstream_050,Morden på Mörkö,"Karlsson, Samuel",,M,CRIME,no,strm
