r_ccomp,id,title,author1,author_gender,category,frmt1,frmt2
16002,bstream_031,Bakom stängda dörrar,"Paris, B.A.",F,CRIME,no,strm
14508,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",F,CRIME,both,both
13191,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",F,CRIME,pb,sell
13186,bstream_026,De sju som såg,"Rudberg, Denise",F,CRIME,no,strm
12846,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",F,CRIME,pb,both
12820,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",M,OTHER,both,sell
12656,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",M,PRESTIGE,both,sell
12580,bstream_045,Under nio nätter,"Rudberg, Denise",F,CRIME,no,strm
12535,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",F,PRESTIGE,pb,sell
12372,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",F,CRIME,pb,both
12324,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",F,CRIME,pb,sell
12276,bstream_014,På sex meters djup,"Rudberg, Denise",F,CRIME,no,strm
12192,SvB_BS_292,Broder Jakob,"Schepp, Emelie",F,CRIME,hb,both
12140,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",F,CRIME,both,both
11927,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",F,CRIME,both,both
11512,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
11363,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",F,CRIME,pb,sell
11311,SvB_BS_216,Björnstad,"Backman, Fredrik",M,OTHER,pb,sell
11294,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
11132,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",F,PRESTIGE,hb,sell
11113,SvB_BS_246,Toner i natten,"Moyes, Jojo",F,OTHER,both,both
11105,bstream_001,Alla kan se dig,"Jansson, Anna",F,CRIME,no,strm
11064,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",F,CRIME,hb,both
11043,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",M,CRIME,hb,both
10995,SvB_BS_265,En andra chans,"Moyes, Jojo",F,OTHER,both,both
10926,SvB_BS_296,Folk med ångest,"Backman, Fredrik",M,OTHER,hb,sell
10837,SvB_BS_285,Pappas pojke,"Schepp, Emelie",F,CRIME,pb,both
10806,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",F,OTHER,pb,sell
10788,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",F,OTHER,hb,sell
10767,bstream_043,Dotter saknad,"Jansson, Anna",F,CRIME,no,strm
10740,bstream_023,Det du inte vet,"Jansson, Anna",F,CRIME,no,strm
10719,bstream_037,Hämndens pris,"Lewin, Erik",M,CRIME,no,strm
10709,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",F,OTHER,both,both
10686,bstream_051,Allt jag fått lära mig,"Westover, Tara",F,OTHER,no,strm
10683,SvB_BS_251,Häxan,"Läckberg, Camilla",F,CRIME,both,both
10655,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",F,PRESTIGE,pb,sell
10654,SvB_BS_261,Lazarus,"Kepler, Lars",2,CRIME,hb,both
10650,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",F,OTHER,pb,sell
10637,SvB_BS_255,Törst,"Nesbø, Jo",M,CRIME,hb,both
10582,SvB_BS_291,Kniv,"Nesbø, Jo",M,CRIME,hb,sell
10568,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",F,CRIME,no,strm
10563,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",F,PRESTIGE,hb,sell
10539,SvB_BS_155,Stalker,"Kepler, Lars",2,CRIME,both,both
10536,SvB_BS_180,Etthundra mil,"Moyes, Jojo",F,OTHER,pb,sell
10527,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",F,OTHER,pb,sell
10505,bstream_033,5:e Moseboken,"Larsson, Christina",F,CRIME,no,strm
10382,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",F,CRIME,pb,sell
10288,bstream_039,Skuggorna ruva,"Moström, Jonas",M,CRIME,no,strm
10284,bstream_010,Rädslans fångar,"Jansson, Anna",F,CRIME,no,strm
10282,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",F,OTHER,both,sell
10258,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",F,OTHER,pb,sell
10257,bstream_015,Prio ett,"Schepp, Emelie",F,CRIME,no,strm
10197,SvB_BS_161,Sonen,"Nesbø, Jo",M,CRIME,both,sell
10141,SvB_BS_193,Kaninjägaren,"Kepler, Lars",2,CRIME,both,both
10126,bstream_017,Mordbrännaren,"Kant, Johan",M,CRIME,no,strm
10087,SvB_BS_278,Husdjuret,"Grebe, Camilla",F,CRIME,pb,sell
10085,SvB_BS_156,Gone Girl,"Flynn, Gillian",F,CRIME,pb,sell
10076,SvB_BS_275,Silvervägen,"Jackson, Stina",F,CRIME,pb,both
10056,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",F,OTHER,hb,sell
10023,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",F,CRIME,pb,sell
10015,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",M,OTHER,pb,sell
9958,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",F,OTHER,hb,sell
9900,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",F,OTHER,pb,sell
9842,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",F,OTHER,pb,sell
9824,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",M,CRIME,pb,both
9806,bstream_030,Kvinnan på bänken,"Jansson, Anna",F,CRIME,no,strm
9791,bstream_034,Nådastöten,"Larsson, Christina",F,CRIME,no,strm
9727,SvB_BS_203,De oroliga,"Ullmann, Linn",F,PRESTIGE,hb,sell
9698,bstream_011,Kärlek sökes,"Hjulström, Carin",F,OTHER,no,strm
9651,SvB_BS_280,Strandcaféet,"Diamond, Lucy",F,OTHER,pb,sell
9644,bstream_007,Skymningsflickan,"Wennstam, Katarina",F,CRIME,no,strm
9616,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",F,CRIME,hb,both
9596,SvB_BS_165,De underkända,"Hjorth, Michael",M,CRIME,hb,both
9562,bstream_019,När livet börjar om,"Dillon, Lucy",F,OTHER,no,strm
9423,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",M,OTHER,both,both
9409,bstream_049,Trojanen,"Ahlstedt, Mats",M,CRIME,no,strm
9407,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",F,CRIME,both,both
9377,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",F,OTHER,pb,sell
9361,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",M,CRIME,no,strm
9248,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",M,OTHER,hb,sell
9236,SvB_BS_287,En bur av guld,"Läckberg, Camilla",F,CRIME,hb,both
9236,bstream_005,Dominodöden,"Moström, Jonas",M,CRIME,no,strm
9220,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",F,OTHER,pb,sell
9210,bstream_021,Sov du lilla videung,"Börjlind, Rolf",2,CRIME,no,strm
9173,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",M,CRIME,pb,sell
9165,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",M,OTHER,hb,sell
9147,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",M,CRIME,pb,sell
9122,SvB_BS_284,Höstdåd,"Motte, Anders de la",M,CRIME,pb,sell
9116,bstream_004,Vita spår,"Schepp, Emelie",F,CRIME,no,strm
9085,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",2,CRIME,no,strm
9072,bstream_027,Trogen intill döden,"Moström, Jonas",M,CRIME,no,strm
9058,SvB_BS_158,VIP-rummet,"Lapidus, Jens",M,CRIME,hb,sell
9050,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",M,CRIME,pb,sell
8974,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",M,CRIME,pb,sell
8965,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",M,PRESTIGE,hb,sell
8956,bstream_035,Se till mig som liten är,"Öhrlund, Dag",M,CRIME,no,strm
8919,SvB_BS_300,Jag for ner till bror,"Smirniff, Karin",F,PRESTIGE,pb,sell
8874,SvB_BS_189,I maktens skugga,"Sten, Viveca",F,CRIME,pb,sell
8862,SvB_BS_306,Motiv X,"Ahnhem, Stefan",M,CRIME,pb,sell
8819,bstream_046,Snödrev,"Tursten, Helene",F,CRIME,no,strm
8806,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",M,CRIME,no,strm
8793,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",F,CRIME,no,strm
8780,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",F,CRIME,pb,sell
8712,SvB_BS_202,Glöm mig,"Schulman, Alex",M,OTHER,both,sell
8672,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",F,CRIME,no,strm
8662,bstream_018,Midnattsflickor,"Moström, Jonas",M,CRIME,no,strm
8628,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",F,OTHER,both,both
8628,bstream_020,Välkommen hem,"Schulman, Ninni",F,CRIME,no,strm
8592,SvB_BS_172,STHLM Delete,"Lapidus, Jens",M,CRIME,both,both
8591,bstream_013,Motvind,"Buthler, Dan",M,CRIME,no,strm
8586,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",M,OTHER,both,both
8570,SvB_BS_254,Top Dogg,"Lapidus, Jens",M,CRIME,hb,both
8548,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
8508,SvB_BS_250,Begynnelse,"Brown, Dan",M,CRIME,both,sell
8458,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",M,CRIME,no,strm
8434,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",M,CRIME,both,both
8420,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",M,OTHER,hb,sell
8418,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
8400,bstream_047,Offer 2117,"Adler-Olsen, Jussi",M,CRIME,no,strm
8380,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",M,CRIME,pb,sell
8347,bstream_025,Uppståndelsen,"Buthler, Dan",M,CRIME,no,strm
8328,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",F,OTHER,pb,sell
8310,bstream_012,Där inga ögon ser,"Öhrlund, Dag",M,CRIME,no,strm
8286,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",F,CRIME,pb,both
8284,bstream_003,Hämnaren,"Buthler, Dan",M,CRIME,no,strm
8262,SvB_BS_267,I fel sällskap,"Sten, Viveca",F,CRIME,hb,sell
8255,SvB_BS_174,Playground,"Kepler, Lars",2,CRIME,hb,sell
8228,bstream_009,I sanningens namn,"Sten, Viveca",F,CRIME,no,strm
8213,bstream_036,Domaren,"Öhrlund, Dag",M,CRIME,no,strm
8187,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",M,CRIME,hb,both
8104,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",F,CRIME,hb,both
8016,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
8002,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",F,CRIME,hb,sell
7961,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",F,CRIME,no,strm
7950,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",M,CRIME,pb,sell
7949,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",M,CRIME,both,both
7917,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",M,OTHER,pb,sell
7868,bstream_050,Morden på Mörkö,"Karlsson, Samuel",M,CRIME,no,strm
7862,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",M,CRIME,hb,both
7859,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",M,PRESTIGE,pb,sell
7855,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",F,CRIME,no,strm
7850,bstream_038,Änglabarnet,"Kant, Johan",M,CRIME,no,strm
7840,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",M,CRIME,no,strm
7714,SvB_BS_299,Jamåhonleva,"Roslund, Anders",M,CRIME,hb,sell
7709,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",M,OTHER,no,strm
7699,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",M,OTHER,pb,sell
7689,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",F,CRIME,both,both
7668,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",M,CRIME,hb,both
7649,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",F,CRIME,both,both
7583,SvB_BS_187,Stoner,"Williams, John",M,OTHER,pb,sell
7555,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",F,CRIME,no,strm
7529,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",M,CRIME,hb,both
7519,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",F,CRIME,both,both
7498,SvB_BS_308,På egen hand,"Keyes, Marian",M,OTHER,pb,sell
7431,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",M,CRIME,both,sell
7236,SvB_BS_273,1793,"Natt och Dag, Niklas",M,CRIME,pb,sell
7192,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",M,OTHER,pb,sell
7179,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",F,CRIME,pb,sell
6961,SvB_BS_288,1794,"Natt och Dag, Niklas",M,CRIME,hb,sell
6883,SvB_BS_271,Tre timmar,"Roslund, Anders",M,CRIME,both,sell
6791,SvB_BS_175,Järnblod,"Marklund, Liza",F,CRIME,both,both
6649,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",F,OTHER,both,sell
6228,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",M,OTHER,pb,sell
6205,SvB_BS_272,Vardagar,"Lundell, Ulf",M,OTHER,hb,sell
6157,SvB_BS_166,Blå stjärnan,"Guillou, Jan",M,OTHER,hb,sell
6103,SvB_BS_177,Björndansen,"Roslund, Anders",M,CRIME,hb,sell
6041,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",F,CRIME,pb,sell
5925,SvB_BS_192,Tre minuter,"Roslund, Anders",M,CRIME,hb,sell
5651,SvB_BS_293,Löparna,"Tokarczuk, Olga",F,PRESTIGE,hb,sell
5634,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",M,OTHER,hb,sell
5626,SvB_BS_208,1968,"Guillou, Jan",M,OTHER,hb,sell
5513,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",M,OTHER,hb,sell
