p_jj,id,title,author1,author_gender,category,frmt1,frmt2
62140,SvB_BS_293,Löparna,"Tokarczuk, Olga",F,PRESTIGE,hb,sell
61069,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",M,OTHER,hb,sell
60257,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",M,OTHER,hb,sell
60227,SvB_BS_208,1968,"Guillou, Jan",M,OTHER,hb,sell
56605,SvB_BS_166,Blå stjärnan,"Guillou, Jan",M,OTHER,hb,sell
54799,SvB_BS_272,Vardagar,"Lundell, Ulf",M,OTHER,hb,sell
53949,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",M,OTHER,hb,sell
53229,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",F,OTHER,both,sell
53062,SvB_BS_187,Stoner,"Williams, John",M,OTHER,pb,sell
51592,SvB_BS_250,Begynnelse,"Brown, Dan",M,CRIME,both,sell
51564,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",F,CRIME,both,both
50906,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
50103,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",F,PRESTIGE,hb,sell
50067,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",F,OTHER,both,sell
49641,SvB_BS_192,Tre minuter,"Roslund, Anders",M,CRIME,hb,sell
49361,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",M,OTHER,hb,sell
49338,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",F,OTHER,hb,sell
49158,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",M,CRIME,hb,both
48665,SvB_BS_203,De oroliga,"Ullmann, Linn",F,PRESTIGE,hb,sell
48557,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",F,OTHER,hb,sell
48507,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",F,CRIME,both,both
48505,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",M,OTHER,pb,sell
48437,bstream_011,Kärlek sökes,"Hjulström, Carin",F,OTHER,no,strm
48243,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",M,OTHER,both,both
48142,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",F,OTHER,pb,sell
47870,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",F,OTHER,pb,sell
47716,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",M,OTHER,pb,sell
47656,SvB_BS_299,Jamåhonleva,"Roslund, Anders",M,CRIME,hb,sell
47561,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
47231,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
47169,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",M,CRIME,both,both
47124,SvB_BS_308,På egen hand,"Keyes, Marian",M,OTHER,pb,sell
46814,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",F,OTHER,pb,sell
46510,SvB_BS_288,1794,"Natt och Dag, Niklas",M,CRIME,hb,sell
46492,bstream_046,Snödrev,"Tursten, Helene",F,CRIME,no,strm
46235,SvB_BS_271,Tre timmar,"Roslund, Anders",M,CRIME,both,sell
46201,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",F,OTHER,pb,sell
46197,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
46032,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",M,OTHER,pb,sell
46001,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",F,PRESTIGE,pb,sell
45880,bstream_003,Hämnaren,"Buthler, Dan",M,CRIME,no,strm
45802,bstream_014,På sex meters djup,"Rudberg, Denise",F,CRIME,no,strm
45770,bstream_025,Uppståndelsen,"Buthler, Dan",M,CRIME,no,strm
45570,bstream_019,När livet börjar om,"Dillon, Lucy",F,OTHER,no,strm
45562,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",M,OTHER,hb,sell
45517,SvB_BS_278,Husdjuret,"Grebe, Camilla",F,CRIME,pb,sell
45509,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",F,CRIME,pb,sell
45159,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",F,CRIME,both,both
45152,SvB_BS_273,1793,"Natt och Dag, Niklas",M,CRIME,pb,sell
44997,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",F,CRIME,no,strm
44945,bstream_026,De sju som såg,"Rudberg, Denise",F,CRIME,no,strm
44813,SvB_BS_156,Gone Girl,"Flynn, Gillian",F,CRIME,pb,sell
44749,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",F,PRESTIGE,hb,sell
44592,SvB_BS_261,Lazarus,"Kepler, Lars",2,CRIME,hb,both
44485,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",M,CRIME,pb,sell
44484,bstream_013,Motvind,"Buthler, Dan",M,CRIME,no,strm
44257,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",M,CRIME,hb,both
44107,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",F,CRIME,no,strm
43842,bstream_036,Domaren,"Öhrlund, Dag",M,CRIME,no,strm
43832,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",F,CRIME,hb,sell
43752,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",M,OTHER,no,strm
43656,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",F,CRIME,no,strm
43618,SvB_BS_280,Strandcaféet,"Diamond, Lucy",F,OTHER,pb,sell
43518,SvB_BS_284,Höstdåd,"Motte, Anders de la",M,CRIME,pb,sell
43475,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",M,OTHER,pb,sell
43391,SvB_BS_177,Björndansen,"Roslund, Anders",M,CRIME,hb,sell
43318,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",F,OTHER,both,both
43312,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",M,OTHER,pb,sell
43277,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",M,CRIME,both,both
43238,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",F,OTHER,pb,sell
43118,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",F,CRIME,pb,sell
43080,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",F,CRIME,pb,both
42874,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",2,CRIME,no,strm
42829,bstream_007,Skymningsflickan,"Wennstam, Katarina",F,CRIME,no,strm
42758,bstream_037,Hämndens pris,"Lewin, Erik",M,CRIME,no,strm
42722,SvB_BS_155,Stalker,"Kepler, Lars",2,CRIME,both,both
42642,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",F,OTHER,pb,sell
42598,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",F,CRIME,pb,sell
42459,SvB_BS_193,Kaninjägaren,"Kepler, Lars",2,CRIME,both,both
42379,SvB_BS_265,En andra chans,"Moyes, Jojo",F,OTHER,both,both
42283,SvB_BS_246,Toner i natten,"Moyes, Jojo",F,OTHER,both,both
42098,SvB_BS_175,Järnblod,"Marklund, Liza",F,CRIME,both,both
41815,bstream_001,Alla kan se dig,"Jansson, Anna",F,CRIME,no,strm
41812,SvB_BS_174,Playground,"Kepler, Lars",2,CRIME,hb,sell
41808,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",F,PRESTIGE,pb,sell
41646,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",F,CRIME,hb,both
41615,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",M,CRIME,no,strm
41570,bstream_045,Under nio nätter,"Rudberg, Denise",F,CRIME,no,strm
41565,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",F,OTHER,hb,sell
41480,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",M,CRIME,pb,sell
41444,SvB_BS_216,Björnstad,"Backman, Fredrik",M,OTHER,pb,sell
41279,bstream_038,Änglabarnet,"Kant, Johan",M,CRIME,no,strm
40887,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",F,CRIME,no,strm
40858,bstream_051,Allt jag fått lära mig,"Westover, Tara",F,OTHER,no,strm
40775,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",F,CRIME,pb,sell
40752,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",M,CRIME,both,sell
40749,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",M,CRIME,hb,both
40671,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",M,CRIME,pb,sell
40437,SvB_BS_165,De underkända,"Hjorth, Michael",M,CRIME,hb,both
40422,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",M,PRESTIGE,hb,sell
40419,SvB_BS_291,Kniv,"Nesbø, Jo",M,CRIME,hb,sell
40287,SvB_BS_296,Folk med ångest,"Backman, Fredrik",M,OTHER,hb,sell
40213,bstream_050,Morden på Mörkö,"Karlsson, Samuel",M,CRIME,no,strm
40184,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",F,CRIME,both,both
40178,SvB_BS_189,I maktens skugga,"Sten, Viveca",F,CRIME,pb,sell
40107,SvB_BS_267,I fel sällskap,"Sten, Viveca",F,CRIME,hb,sell
40060,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",M,CRIME,no,strm
40057,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",F,OTHER,both,both
40021,bstream_021,Sov du lilla videung,"Börjlind, Rolf",2,CRIME,no,strm
40019,SvB_BS_275,Silvervägen,"Jackson, Stina",F,CRIME,pb,both
39980,SvB_BS_306,Motiv X,"Ahnhem, Stefan",M,CRIME,pb,sell
39809,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",F,CRIME,pb,both
39793,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",F,CRIME,both,both
39773,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",M,OTHER,both,both
39772,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",M,CRIME,no,strm
39719,SvB_BS_161,Sonen,"Nesbø, Jo",M,CRIME,both,sell
39680,SvB_BS_287,En bur av guld,"Läckberg, Camilla",F,CRIME,hb,both
39645,bstream_030,Kvinnan på bänken,"Jansson, Anna",F,CRIME,no,strm
39557,bstream_049,Trojanen,"Ahlstedt, Mats",M,CRIME,no,strm
39543,bstream_012,Där inga ögon ser,"Öhrlund, Dag",M,CRIME,no,strm
39441,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
39353,bstream_043,Dotter saknad,"Jansson, Anna",F,CRIME,no,strm
39284,bstream_035,Se till mig som liten är,"Öhrlund, Dag",M,CRIME,no,strm
39261,bstream_047,Offer 2117,"Adler-Olsen, Jussi",M,CRIME,no,strm
39189,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",M,PRESTIGE,pb,sell
39119,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",M,CRIME,pb,sell
39048,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",M,CRIME,pb,sell
39005,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",F,OTHER,pb,sell
38988,bstream_010,Rädslans fångar,"Jansson, Anna",F,CRIME,no,strm
38918,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",F,CRIME,pb,sell
38847,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",M,CRIME,hb,both
38747,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",M,CRIME,no,strm
38694,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",F,CRIME,hb,both
38636,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",F,CRIME,pb,sell
38633,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",M,CRIME,pb,both
38586,SvB_BS_300,Jag for ner till bror,"Smirniff, Karin",F,PRESTIGE,pb,sell
38576,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",F,OTHER,pb,sell
38542,bstream_017,Mordbrännaren,"Kant, Johan",M,CRIME,no,strm
38446,SvB_BS_158,VIP-rummet,"Lapidus, Jens",M,CRIME,hb,sell
38399,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",M,PRESTIGE,both,sell
38271,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",F,OTHER,pb,sell
38267,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",F,CRIME,both,both
38128,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",M,CRIME,hb,both
38099,bstream_009,I sanningens namn,"Sten, Viveca",F,CRIME,no,strm
38076,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",F,CRIME,no,strm
37755,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",F,CRIME,pb,sell
37696,SvB_BS_254,Top Dogg,"Lapidus, Jens",M,CRIME,hb,both
37675,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",F,CRIME,hb,both
37605,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",F,CRIME,both,both
37407,bstream_023,Det du inte vet,"Jansson, Anna",F,CRIME,no,strm
37373,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",F,CRIME,no,strm
37216,bstream_018,Midnattsflickor,"Moström, Jonas",M,CRIME,no,strm
37177,SvB_BS_172,STHLM Delete,"Lapidus, Jens",M,CRIME,both,both
37097,bstream_033,5:e Moseboken,"Larsson, Christina",F,CRIME,no,strm
37048,SvB_BS_251,Häxan,"Läckberg, Camilla",F,CRIME,both,both
36963,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",M,OTHER,both,sell
36937,SvB_BS_255,Törst,"Nesbø, Jo",M,CRIME,hb,both
36695,SvB_BS_180,Etthundra mil,"Moyes, Jojo",F,OTHER,pb,sell
35864,bstream_004,Vita spår,"Schepp, Emelie",F,CRIME,no,strm
35491,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",F,CRIME,pb,both
35490,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",F,CRIME,pb,sell
35472,bstream_020,Välkommen hem,"Schulman, Ninni",F,CRIME,no,strm
35469,bstream_027,Trogen intill döden,"Moström, Jonas",M,CRIME,no,strm
34049,bstream_015,Prio ett,"Schepp, Emelie",F,CRIME,no,strm
33856,SvB_BS_202,Glöm mig,"Schulman, Alex",M,OTHER,both,sell
33806,bstream_034,Nådastöten,"Larsson, Christina",F,CRIME,no,strm
33191,bstream_005,Dominodöden,"Moström, Jonas",M,CRIME,no,strm
32787,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",M,CRIME,pb,sell
32046,bstream_039,Skuggorna ruva,"Moström, Jonas",M,CRIME,no,strm
31360,bstream_031,Bakom stängda dörrar,"Paris, B.A.",F,CRIME,no,strm
31262,SvB_BS_292,Broder Jakob,"Schepp, Emelie",F,CRIME,hb,both
30385,SvB_BS_285,Pappas pojke,"Schepp, Emelie",F,CRIME,pb,both
