p_kn,id,title,author1,author_gender,category,frmt1,frmt2
64825,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",M,CRIME,hb,both
62275,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",M,CRIME,hb,both
61523,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",F,OTHER,both,sell
60407,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",M,CRIME,both,both
58695,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",F,OTHER,hb,sell
57537,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",F,OTHER,hb,sell
56891,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",F,PRESTIGE,hb,sell
56865,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",F,OTHER,pb,sell
55508,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",M,OTHER,hb,sell
54191,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",F,PRESTIGE,pb,sell
53660,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",F,PRESTIGE,pb,sell
53407,SvB_BS_187,Stoner,"Williams, John",M,OTHER,pb,sell
53181,SvB_BS_203,De oroliga,"Ullmann, Linn",F,PRESTIGE,hb,sell
51429,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",M,CRIME,pb,sell
51160,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",M,OTHER,hb,sell
50695,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",M,OTHER,pb,sell
50507,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
50125,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",M,CRIME,pb,sell
49910,SvB_BS_177,Björndansen,"Roslund, Anders",M,CRIME,hb,sell
49775,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",F,OTHER,both,sell
49568,SvB_BS_280,Strandcaféet,"Diamond, Lucy",F,OTHER,pb,sell
49268,SvB_BS_278,Husdjuret,"Grebe, Camilla",F,CRIME,pb,sell
48899,SvB_BS_155,Stalker,"Kepler, Lars",2,CRIME,both,both
48845,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",F,OTHER,pb,sell
48598,SvB_BS_306,Motiv X,"Ahnhem, Stefan",M,CRIME,pb,sell
48594,bstream_036,Domaren,"Öhrlund, Dag",M,CRIME,no,strm
48479,bstream_005,Dominodöden,"Moström, Jonas",M,CRIME,no,strm
48425,SvB_BS_193,Kaninjägaren,"Kepler, Lars",2,CRIME,both,both
47364,bstream_025,Uppståndelsen,"Buthler, Dan",M,CRIME,no,strm
47329,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",F,CRIME,no,strm
47295,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",M,CRIME,no,strm
47189,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",F,CRIME,hb,both
47117,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",F,CRIME,pb,both
47006,bstream_011,Kärlek sökes,"Hjulström, Carin",F,OTHER,no,strm
46884,SvB_BS_174,Playground,"Kepler, Lars",2,CRIME,hb,sell
46740,SvB_BS_208,1968,"Guillou, Jan",M,OTHER,hb,sell
46713,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",M,OTHER,hb,sell
46671,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",M,PRESTIGE,both,sell
46601,SvB_BS_261,Lazarus,"Kepler, Lars",2,CRIME,hb,both
46531,bstream_050,Morden på Mörkö,"Karlsson, Samuel",M,CRIME,no,strm
46522,bstream_027,Trogen intill döden,"Moström, Jonas",M,CRIME,no,strm
46487,bstream_003,Hämnaren,"Buthler, Dan",M,CRIME,no,strm
46486,bstream_034,Nådastöten,"Larsson, Christina",F,CRIME,no,strm
46453,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",M,PRESTIGE,hb,sell
46393,bstream_013,Motvind,"Buthler, Dan",M,CRIME,no,strm
46246,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",F,OTHER,both,both
46188,bstream_033,5:e Moseboken,"Larsson, Christina",F,CRIME,no,strm
46171,bstream_018,Midnattsflickor,"Moström, Jonas",M,CRIME,no,strm
46154,bstream_035,Se till mig som liten är,"Öhrlund, Dag",M,CRIME,no,strm
46100,SvB_BS_251,Häxan,"Läckberg, Camilla",F,CRIME,both,both
46094,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",M,CRIME,no,strm
45950,bstream_047,Offer 2117,"Adler-Olsen, Jussi",M,CRIME,no,strm
45914,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",M,OTHER,hb,sell
45913,bstream_012,Där inga ögon ser,"Öhrlund, Dag",M,CRIME,no,strm
45898,SvB_BS_300,Jag for ner till bror,"Smirniff, Karin",F,PRESTIGE,pb,sell
45644,bstream_038,Änglabarnet,"Kant, Johan",M,CRIME,no,strm
45512,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",F,OTHER,pb,sell
45403,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",F,CRIME,both,both
45398,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",M,CRIME,both,sell
45347,bstream_039,Skuggorna ruva,"Moström, Jonas",M,CRIME,no,strm
45308,SvB_BS_166,Blå stjärnan,"Guillou, Jan",M,OTHER,hb,sell
45235,SvB_BS_299,Jamåhonleva,"Roslund, Anders",M,CRIME,hb,sell
45088,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",F,CRIME,no,strm
44960,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",F,CRIME,hb,sell
44950,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",F,CRIME,pb,sell
44760,SvB_BS_271,Tre timmar,"Roslund, Anders",M,CRIME,both,sell
44676,SvB_BS_275,Silvervägen,"Jackson, Stina",F,CRIME,pb,both
44496,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",F,OTHER,hb,sell
44344,bstream_037,Hämndens pris,"Lewin, Erik",M,CRIME,no,strm
44280,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
44266,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",F,CRIME,both,both
44226,bstream_045,Under nio nätter,"Rudberg, Denise",F,CRIME,no,strm
44121,SvB_BS_272,Vardagar,"Lundell, Ulf",M,OTHER,hb,sell
44010,bstream_019,När livet börjar om,"Dillon, Lucy",F,OTHER,no,strm
43829,SvB_BS_192,Tre minuter,"Roslund, Anders",M,CRIME,hb,sell
43786,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",M,OTHER,pb,sell
43708,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",F,CRIME,both,both
43486,bstream_015,Prio ett,"Schepp, Emelie",F,CRIME,no,strm
43481,SvB_BS_156,Gone Girl,"Flynn, Gillian",F,CRIME,pb,sell
43329,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",M,OTHER,both,both
43327,SvB_BS_284,Höstdåd,"Motte, Anders de la",M,CRIME,pb,sell
43228,SvB_BS_202,Glöm mig,"Schulman, Alex",M,OTHER,both,sell
43134,SvB_BS_288,1794,"Natt och Dag, Niklas",M,CRIME,hb,sell
43080,SvB_BS_265,En andra chans,"Moyes, Jojo",F,OTHER,both,both
42874,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",M,CRIME,hb,both
42764,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",F,OTHER,pb,sell
42618,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",F,CRIME,both,both
42564,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
42528,bstream_017,Mordbrännaren,"Kant, Johan",M,CRIME,no,strm
42365,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",M,CRIME,no,strm
42327,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",M,OTHER,pb,sell
42273,SvB_BS_291,Kniv,"Nesbø, Jo",M,CRIME,hb,sell
42200,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",M,OTHER,both,both
42198,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
42185,bstream_021,Sov du lilla videung,"Börjlind, Rolf",2,CRIME,no,strm
42078,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",M,CRIME,pb,sell
41988,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",F,PRESTIGE,hb,sell
41961,bstream_007,Skymningsflickan,"Wennstam, Katarina",F,CRIME,no,strm
41928,SvB_BS_273,1793,"Natt och Dag, Niklas",M,CRIME,pb,sell
41878,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",F,CRIME,both,both
41757,bstream_004,Vita spår,"Schepp, Emelie",F,CRIME,no,strm
41702,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",2,CRIME,no,strm
41692,bstream_043,Dotter saknad,"Jansson, Anna",F,CRIME,no,strm
41600,SvB_BS_292,Broder Jakob,"Schepp, Emelie",F,CRIME,hb,both
41544,bstream_051,Allt jag fått lära mig,"Westover, Tara",F,OTHER,no,strm
41501,bstream_026,De sju som såg,"Rudberg, Denise",F,CRIME,no,strm
41461,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",M,CRIME,pb,sell
41250,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",M,OTHER,no,strm
41122,SvB_BS_255,Törst,"Nesbø, Jo",M,CRIME,hb,both
40977,SvB_BS_161,Sonen,"Nesbø, Jo",M,CRIME,both,sell
40798,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",F,CRIME,pb,sell
40758,bstream_014,På sex meters djup,"Rudberg, Denise",F,CRIME,no,strm
40609,SvB_BS_293,Löparna,"Tokarczuk, Olga",F,PRESTIGE,hb,sell
40523,bstream_049,Trojanen,"Ahlstedt, Mats",M,CRIME,no,strm
40392,bstream_046,Snödrev,"Tursten, Helene",F,CRIME,no,strm
40311,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",M,OTHER,both,sell
40234,bstream_031,Bakom stängda dörrar,"Paris, B.A.",F,CRIME,no,strm
40223,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",F,OTHER,pb,sell
40066,SvB_BS_216,Björnstad,"Backman, Fredrik",M,OTHER,pb,sell
40043,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",F,CRIME,pb,sell
39986,SvB_BS_285,Pappas pojke,"Schepp, Emelie",F,CRIME,pb,both
39954,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",F,CRIME,pb,sell
39936,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",F,OTHER,pb,sell
39903,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",F,CRIME,pb,sell
39902,SvB_BS_308,På egen hand,"Keyes, Marian",M,OTHER,pb,sell
39743,bstream_020,Välkommen hem,"Schulman, Ninni",F,CRIME,no,strm
39666,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",F,CRIME,hb,both
39662,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",F,CRIME,pb,sell
39586,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",F,CRIME,no,strm
39310,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",M,CRIME,pb,both
39222,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",F,OTHER,both,both
39196,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",M,CRIME,hb,both
39192,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",F,OTHER,pb,sell
38969,bstream_010,Rädslans fångar,"Jansson, Anna",F,CRIME,no,strm
38898,SvB_BS_287,En bur av guld,"Läckberg, Camilla",F,CRIME,hb,both
38886,SvB_BS_180,Etthundra mil,"Moyes, Jojo",F,OTHER,pb,sell
38851,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",M,CRIME,no,strm
38823,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",F,CRIME,both,both
38635,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",M,CRIME,pb,sell
38513,SvB_BS_165,De underkända,"Hjorth, Michael",M,CRIME,hb,both
38446,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",M,PRESTIGE,pb,sell
38284,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",M,OTHER,pb,sell
38218,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
38174,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",M,CRIME,hb,both
38154,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",M,OTHER,hb,sell
38042,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",F,CRIME,both,both
37968,SvB_BS_296,Folk med ångest,"Backman, Fredrik",M,OTHER,hb,sell
37941,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",F,CRIME,pb,sell
37794,SvB_BS_254,Top Dogg,"Lapidus, Jens",M,CRIME,hb,both
37786,SvB_BS_158,VIP-rummet,"Lapidus, Jens",M,CRIME,hb,sell
37542,SvB_BS_250,Begynnelse,"Brown, Dan",M,CRIME,both,sell
37492,bstream_001,Alla kan se dig,"Jansson, Anna",F,CRIME,no,strm
37282,SvB_BS_175,Järnblod,"Marklund, Liza",F,CRIME,both,both
37218,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",F,CRIME,pb,both
37174,bstream_030,Kvinnan på bänken,"Jansson, Anna",F,CRIME,no,strm
36541,bstream_023,Det du inte vet,"Jansson, Anna",F,CRIME,no,strm
36517,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",M,CRIME,both,both
36462,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",F,CRIME,no,strm
36265,SvB_BS_246,Toner i natten,"Moyes, Jojo",F,OTHER,both,both
36126,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",F,CRIME,pb,sell
35523,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",M,OTHER,pb,sell
35472,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",F,OTHER,pb,sell
35339,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",F,OTHER,pb,sell
34637,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",F,CRIME,pb,both
34076,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",F,CRIME,no,strm
34057,SvB_BS_172,STHLM Delete,"Lapidus, Jens",M,CRIME,both,both
32711,SvB_BS_189,I maktens skugga,"Sten, Viveca",F,CRIME,pb,sell
31432,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",M,CRIME,pb,sell
31043,SvB_BS_267,I fel sällskap,"Sten, Viveca",F,CRIME,hb,sell
30506,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",F,CRIME,no,strm
30402,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",F,CRIME,hb,both
29871,bstream_009,I sanningens namn,"Sten, Viveca",F,CRIME,no,strm
