p_ps,id,title,author1,author_gender,category,frmt1,frmt2
25743,SvB_BS_288,1794,"Natt och Dag, Niklas",M,CRIME,hb,sell
24216,SvB_BS_273,1793,"Natt och Dag, Niklas",M,CRIME,pb,sell
20543,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",M,OTHER,pb,sell
19299,bstream_051,Allt jag fått lära mig,"Westover, Tara",F,OTHER,no,strm
17858,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",M,OTHER,pb,sell
17100,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",F,PRESTIGE,hb,sell
17078,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",F,OTHER,both,both
16958,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",F,CRIME,pb,sell
16638,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",F,OTHER,pb,sell
16344,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",M,CRIME,hb,both
16218,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",M,PRESTIGE,hb,sell
15834,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",F,OTHER,pb,sell
15812,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
15649,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",F,CRIME,pb,sell
15540,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",F,OTHER,hb,sell
15403,SvB_BS_156,Gone Girl,"Flynn, Gillian",F,CRIME,pb,sell
15203,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",M,OTHER,both,both
15141,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",M,CRIME,both,both
15119,SvB_BS_308,På egen hand,"Keyes, Marian",M,OTHER,pb,sell
14989,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",F,OTHER,pb,sell
14940,SvB_BS_265,En andra chans,"Moyes, Jojo",F,OTHER,both,both
14803,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",M,OTHER,pb,sell
14667,SvB_BS_216,Björnstad,"Backman, Fredrik",M,OTHER,pb,sell
14650,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",M,CRIME,pb,both
14616,bstream_045,Under nio nätter,"Rudberg, Denise",F,CRIME,no,strm
14416,SvB_BS_287,En bur av guld,"Läckberg, Camilla",F,CRIME,hb,both
14359,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",F,OTHER,hb,sell
14331,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",M,OTHER,hb,sell
14290,SvB_BS_293,Löparna,"Tokarczuk, Olga",F,PRESTIGE,hb,sell
14137,SvB_BS_180,Etthundra mil,"Moyes, Jojo",F,OTHER,pb,sell
14074,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",M,OTHER,pb,sell
14004,SvB_BS_203,De oroliga,"Ullmann, Linn",F,PRESTIGE,hb,sell
13987,SvB_BS_300,Jag for ner till bror,"Smirniff, Karin",F,PRESTIGE,pb,sell
13985,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",F,CRIME,pb,sell
13957,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",F,CRIME,pb,sell
13955,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",F,OTHER,hb,sell
13945,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",F,OTHER,pb,sell
13934,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",F,OTHER,both,sell
13874,SvB_BS_246,Toner i natten,"Moyes, Jojo",F,OTHER,both,both
13789,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",F,OTHER,pb,sell
13679,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",M,PRESTIGE,both,sell
13653,bstream_014,På sex meters djup,"Rudberg, Denise",F,CRIME,no,strm
13550,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",F,CRIME,both,both
13330,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",F,OTHER,both,sell
13222,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",F,CRIME,both,both
13200,bstream_003,Hämnaren,"Buthler, Dan",M,CRIME,no,strm
13166,SvB_BS_174,Playground,"Kepler, Lars",2,CRIME,hb,sell
13135,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",M,CRIME,hb,both
12994,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",M,CRIME,pb,sell
12973,bstream_047,Offer 2117,"Adler-Olsen, Jussi",M,CRIME,no,strm
12809,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",F,CRIME,no,strm
12670,SvB_BS_187,Stoner,"Williams, John",M,OTHER,pb,sell
12614,SvB_BS_299,Jamåhonleva,"Roslund, Anders",M,CRIME,hb,sell
12514,SvB_BS_267,I fel sällskap,"Sten, Viveca",F,CRIME,hb,sell
12503,bstream_019,När livet börjar om,"Dillon, Lucy",F,OTHER,no,strm
12449,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",M,CRIME,both,both
12416,bstream_026,De sju som såg,"Rudberg, Denise",F,CRIME,no,strm
12412,bstream_025,Uppståndelsen,"Buthler, Dan",M,CRIME,no,strm
12261,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",F,OTHER,pb,sell
12004,bstream_013,Motvind,"Buthler, Dan",M,CRIME,no,strm
11970,bstream_007,Skymningsflickan,"Wennstam, Katarina",F,CRIME,no,strm
11892,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",F,PRESTIGE,pb,sell
11876,bstream_001,Alla kan se dig,"Jansson, Anna",F,CRIME,no,strm
11869,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",F,PRESTIGE,pb,sell
11861,bstream_036,Domaren,"Öhrlund, Dag",M,CRIME,no,strm
11804,SvB_BS_284,Höstdåd,"Motte, Anders de la",M,CRIME,pb,sell
11759,bstream_037,Hämndens pris,"Lewin, Erik",M,CRIME,no,strm
11746,SvB_BS_250,Begynnelse,"Brown, Dan",M,CRIME,both,sell
11706,bstream_043,Dotter saknad,"Jansson, Anna",F,CRIME,no,strm
11695,bstream_010,Rädslans fångar,"Jansson, Anna",F,CRIME,no,strm
11691,bstream_030,Kvinnan på bänken,"Jansson, Anna",F,CRIME,no,strm
11639,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",M,CRIME,no,strm
11627,SvB_BS_172,STHLM Delete,"Lapidus, Jens",M,CRIME,both,both
11591,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",F,CRIME,both,both
11476,SvB_BS_202,Glöm mig,"Schulman, Alex",M,OTHER,both,sell
11473,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",M,CRIME,pb,sell
11403,SvB_BS_158,VIP-rummet,"Lapidus, Jens",M,CRIME,hb,sell
11396,bstream_031,Bakom stängda dörrar,"Paris, B.A.",F,CRIME,no,strm
11351,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",M,CRIME,hb,both
11341,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",F,CRIME,both,both
11340,bstream_004,Vita spår,"Schepp, Emelie",F,CRIME,no,strm
11336,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",F,CRIME,pb,sell
11326,SvB_BS_175,Järnblod,"Marklund, Liza",F,CRIME,both,both
11216,SvB_BS_251,Häxan,"Läckberg, Camilla",F,CRIME,both,both
11200,SvB_BS_261,Lazarus,"Kepler, Lars",2,CRIME,hb,both
11175,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",M,CRIME,hb,both
11137,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",M,CRIME,no,strm
11129,SvB_BS_292,Broder Jakob,"Schepp, Emelie",F,CRIME,hb,both
11096,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",F,CRIME,pb,sell
11095,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",M,CRIME,pb,sell
11087,SvB_BS_271,Tre timmar,"Roslund, Anders",M,CRIME,both,sell
11085,bstream_015,Prio ett,"Schepp, Emelie",F,CRIME,no,strm
11068,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",F,OTHER,both,both
11058,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",F,CRIME,no,strm
11000,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",F,CRIME,no,strm
10975,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",F,CRIME,no,strm
10970,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",F,CRIME,hb,both
10950,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",F,CRIME,pb,both
10913,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",2,CRIME,no,strm
10901,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",F,CRIME,both,both
10791,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",M,OTHER,both,sell
10785,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",F,CRIME,pb,sell
10773,SvB_BS_296,Folk med ångest,"Backman, Fredrik",M,OTHER,hb,sell
10751,SvB_BS_193,Kaninjägaren,"Kepler, Lars",2,CRIME,both,both
10751,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",F,CRIME,pb,both
10736,SvB_BS_285,Pappas pojke,"Schepp, Emelie",F,CRIME,pb,both
10730,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",F,OTHER,pb,sell
10729,SvB_BS_155,Stalker,"Kepler, Lars",2,CRIME,both,both
10697,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
10667,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",M,CRIME,pb,sell
10607,SvB_BS_192,Tre minuter,"Roslund, Anders",M,CRIME,hb,sell
10586,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",F,CRIME,pb,both
10549,bstream_034,Nådastöten,"Larsson, Christina",F,CRIME,no,strm
10459,bstream_046,Snödrev,"Tursten, Helene",F,CRIME,no,strm
10434,SvB_BS_254,Top Dogg,"Lapidus, Jens",M,CRIME,hb,both
10428,SvB_BS_275,Silvervägen,"Jackson, Stina",F,CRIME,pb,both
10387,bstream_017,Mordbrännaren,"Kant, Johan",M,CRIME,no,strm
10377,bstream_038,Änglabarnet,"Kant, Johan",M,CRIME,no,strm
10344,bstream_049,Trojanen,"Ahlstedt, Mats",M,CRIME,no,strm
10293,SvB_BS_306,Motiv X,"Ahnhem, Stefan",M,CRIME,pb,sell
10233,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",M,CRIME,pb,sell
10182,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",F,CRIME,hb,both
10159,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",M,OTHER,both,both
10036,SvB_BS_278,Husdjuret,"Grebe, Camilla",F,CRIME,pb,sell
9997,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",F,CRIME,hb,both
9987,SvB_BS_165,De underkända,"Hjorth, Michael",M,CRIME,hb,both
9873,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",M,OTHER,no,strm
9870,bstream_033,5:e Moseboken,"Larsson, Christina",F,CRIME,no,strm
9821,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",F,CRIME,both,both
9679,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",F,CRIME,hb,sell
9659,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",M,CRIME,hb,both
9596,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
9515,bstream_018,Midnattsflickor,"Moström, Jonas",M,CRIME,no,strm
9509,bstream_023,Det du inte vet,"Jansson, Anna",F,CRIME,no,strm
9463,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",M,OTHER,hb,sell
9388,SvB_BS_166,Blå stjärnan,"Guillou, Jan",M,OTHER,hb,sell
9331,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",F,CRIME,no,strm
9282,bstream_027,Trogen intill döden,"Moström, Jonas",M,CRIME,no,strm
9203,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",M,CRIME,both,sell
9198,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",F,CRIME,no,strm
9192,bstream_005,Dominodöden,"Moström, Jonas",M,CRIME,no,strm
9164,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",M,OTHER,hb,sell
9095,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",M,OTHER,hb,sell
9086,SvB_BS_208,1968,"Guillou, Jan",M,OTHER,hb,sell
9076,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
8998,bstream_050,Morden på Mörkö,"Karlsson, Samuel",M,CRIME,no,strm
8893,bstream_012,Där inga ögon ser,"Öhrlund, Dag",M,CRIME,no,strm
8741,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",M,CRIME,no,strm
8705,bstream_021,Sov du lilla videung,"Börjlind, Rolf",2,CRIME,no,strm
8697,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",M,PRESTIGE,pb,sell
8678,SvB_BS_291,Kniv,"Nesbø, Jo",M,CRIME,hb,sell
8665,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",M,OTHER,hb,sell
8627,SvB_BS_280,Strandcaféet,"Diamond, Lucy",F,OTHER,pb,sell
8596,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",M,CRIME,no,strm
8507,bstream_011,Kärlek sökes,"Hjulström, Carin",F,OTHER,no,strm
8506,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",F,CRIME,pb,sell
8498,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",F,OTHER,pb,sell
8406,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",F,OTHER,pb,sell
8392,SvB_BS_177,Björndansen,"Roslund, Anders",M,CRIME,hb,sell
8296,SvB_BS_189,I maktens skugga,"Sten, Viveca",F,CRIME,pb,sell
8277,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
8230,bstream_035,Se till mig som liten är,"Öhrlund, Dag",M,CRIME,no,strm
8154,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",F,CRIME,both,both
8025,SvB_BS_255,Törst,"Nesbø, Jo",M,CRIME,hb,both
8017,SvB_BS_272,Vardagar,"Lundell, Ulf",M,OTHER,hb,sell
7876,SvB_BS_161,Sonen,"Nesbø, Jo",M,CRIME,both,sell
7445,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",M,OTHER,pb,sell
7441,bstream_039,Skuggorna ruva,"Moström, Jonas",M,CRIME,no,strm
7376,bstream_009,I sanningens namn,"Sten, Viveca",F,CRIME,no,strm
6709,bstream_020,Välkommen hem,"Schulman, Ninni",F,CRIME,no,strm
6334,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",F,PRESTIGE,hb,sell
5112,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",M,CRIME,pb,sell
